2026-04-17 09:27,bread x2 ($10),20.00
2026-04-17 10:28,bread x3 ($10) | apples x1 ($2),32.00
2026-04-17 11:28,bread x6 ($10) | apples x2 ($2),64.00
2026-04-20 08:36,bread x2 ($10),20.00
2026-05-01 09:13,apples x1 ($2) | bread x1 ($10),12.00
2026-05-04 19:37,bread x1 ($10),10.00
2026-04-18 10:00,milk x2 ($3) | cheese x1 ($5),11.00
2026-04-18 11:15,eggs x6 ($4),24.00
2026-04-18 12:30,chicken x1 ($8) | beef x1 ($12),20.00
2026-04-18 14:00,carrots x5 ($1),5.00
2026-04-18 15:20,potatoes x3 ($2),6.00
2026-04-18 16:40,tomatoes x4 ($1.5),6.00
2026-04-18 17:55,bananas x6 ($0.5),3.00
2026-04-18 19:10,oranges x2 ($1),2.00
2026-04-19 09:25,rice x2 ($3),6.00
2026-04-19 10:40,pasta x3 ($2),6.00
2026-04-19 12:00,cereal x1 ($4),4.00
2026-04-19 13:15,yogurt x4 ($1.5),6.00
2026-04-19 14:30,butter x1 ($4),4.00
2026-04-19 15:45,lettuce x2 ($2),4.00
2026-04-19 17:00,spinach x1 ($3),3.00
2026-04-21 08:20,broccoli x3 ($2.5),7.50
2026-04-21 09:35,grapes x2 ($3),6.00
2026-04-21 11:00,strawberries x1 ($4),4.00
2026-04-21 12:15,flour x5 ($2),10.00
2026-04-21 13:30,pizza x1 ($20),20.00
2026-04-22 10:45,apples x3 ($2),6.00
2026-04-22 12:00,bread x2 ($10),20.00
2026-04-22 13:20,bacon x1 ($20),20.00
2026-04-22 14:35,milk x1 ($3) | eggs x4 ($4),19.00
2026-04-22 16:00,chicken x2 ($8),16.00
2026-05-02 09:10,beef x1 ($12) | carrots x4 ($1),16.00
2026-05-02 10:25,potatoes x2 ($2) | tomatoes x3 ($1.5),9.00
2026-05-02 11:40,bananas x8 ($0.5),4.00
2026-05-02 13:00,oranges x3 ($1),3.00
2026-05-02 14:15,rice x1 ($3) | pasta x2 ($2),7.00
2026-05-03 09:30,cereal x2 ($4),8.00
2026-05-03 10:45,yogurt x5 ($1.5),7.50
2026-05-03 12:00,butter x1 ($4) | lettuce x1 ($2),6.00
2026-05-03 13:15,spinach x2 ($3),6.00
2026-05-03 14:30,broccoli x1 ($2.5) | grapes x1 ($3),5.50
2026-05-05 08:45,strawberries x2 ($4),8.00
2026-05-05 10:00,flour x3 ($2),6.00
2026-05-05 11:15,pizza x1 ($20) | apples x2 ($2),24.00
2026-05-05 12:30,bread x1 ($10) | bacon x1 ($20),30.00
2026-05-05 13:45,milk x3 ($3),9.00
