2026-05-05 09:00,3D Printed Octopus x1 ($10),10.00
2026-05-05 10:15,3D Printed Shark x2 ($15),30.00
2026-05-05 11:30,3D Printed Dragon x1 ($25) | 3D Printed Unicorn x1 ($20),45.00
2026-05-05 12:45,3D Printed Cat x3 ($8),24.00
2026-05-05 14:00,3D Printed Dog x1 ($12) | 3D Printed Elephant x1 ($18),30.00
2026-05-05 15:20,3D Printed Lion x1 ($22),22.00
2026-05-05 16:35,3D Printed Tiger x1 ($24) | 3D Printed Bear x2 ($16),56.00
2026-05-05 17:50,3D Printed Rabbit x4 ($9),36.00
2026-05-05 18:05,3D Printed Fox x1 ($14),14.00
2026-05-05 19:20,3D Printed Owl x2 ($11),22.00
2026-05-06 09:10,3D Printed Eagle x1 ($19),19.00
2026-05-06 10:25,3D Printed Turtle x1 ($13) | 3D Printed Frog x2 ($7),27.00
2026-05-06 11:40,3D Printed Snake x3 ($10),30.00
2026-05-06 13:00,3D Printed Butterfly x5 ($6),30.00
2026-05-06 14:15,3D Printed Bee x1 ($5) | 3D Printed Flower x2 ($8),21.00
2026-05-06 15:30,3D Printed Tree x1 ($17),17.00
2026-05-06 16:45,3D Printed House x1 ($30),30.00
2026-05-06 17:00,3D Printed Car x1 ($25) | 3D Printed Boat x1 ($28),53.00
2026-05-06 18:15,3D Printed Rocket x1 ($35),35.00
2026-05-06 19:30,3D Printed Octopus x2 ($10) | 3D Printed Shark x1 ($15),35.00
2026-05-07 08:45,3D Printed Dragon x1 ($25),25.00
2026-05-07 10:00,3D Printed Unicorn x2 ($20),40.00
2026-05-07 11:15,3D Printed Cat x1 ($8) | 3D Printed Dog x1 ($12),20.00
2026-05-07 12:30,3D Printed Elephant x1 ($18),18.00
2026-05-07 13:45,3D Printed Lion x1 ($22) | 3D Printed Tiger x1 ($24),46.00
2026-05-07 15:00,3D Printed Bear x3 ($16),48.00
2026-05-07 16:15,3D Printed Rabbit x1 ($9) | 3D Printed Fox x1 ($14),23.00
2026-05-07 17:30,3D Printed Owl x1 ($11) | 3D Printed Eagle x1 ($19),30.00
2026-05-07 18:45,3D Printed Turtle x2 ($13),26.00
2026-05-07 20:00,3D Printed Frog x4 ($7) | 3D Printed Snake x1 ($10),38.00
